eventName,eventId,year,awardName,categoryName,newCategoryName,primaryNomineeName,primaryNomineeCode,secondaryNomineeName,secondaryNomineeCode,awardNominationId,isWinner,string
"Academy Awards, USA",ev0000003,1990,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Daniel Day-Lewis'],['nm0000358'],['My Left Foot'],['tt0097937'],an0052711,True,"{""primaryNominees"": [""nm0000358""], ""secondaryNominees"": [""tt0097937""]}"
"Academy Awards, USA",ev0000003,1990,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Kenneth Branagh'],['nm0000110'],['Henry V'],['tt0097499'],an0052712,False,"{""primaryNominees"": [""nm0000110""], ""secondaryNominees"": [""tt0097499""]}"
"Academy Awards, USA",ev0000003,1990,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Morgan Freeman'],['nm0000151'],['Driving Miss Daisy'],['tt0097239'],an0052714,False,"{""primaryNominees"": [""nm0000151""], ""secondaryNominees"": [""tt0097239""]}"
"Academy Awards, USA",ev0000003,1990,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Robin Williams'],['nm0000245'],['Dead Poets Society'],['tt0097165'],an0052715,False,"{""primaryNominees"": [""nm0000245""], ""secondaryNominees"": [""tt0097165""]}"
"Academy Awards, USA",ev0000003,1990,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Tom Cruise'],['nm0000129'],['Born on the Fourth of July'],['tt0096969'],an0052713,False,"{""primaryNominees"": [""nm0000129""], ""secondaryNominees"": [""tt0096969""]}"
"Academy Awards, USA",ev0000003,1991,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Jeremy Irons'],['nm0000460'],['Reversal of Fortune'],['tt0100486'],an0053077,True,"{""primaryNominees"": [""nm0000460""], ""secondaryNominees"": [""tt0100486""]}"
"Academy Awards, USA",ev0000003,1991,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Gérard Depardieu'],['nm0000367'],['Cyrano de Bergerac'],['tt0099334'],an0053080,False,"{""primaryNominees"": [""nm0000367""], ""secondaryNominees"": [""tt0099334""]}"
"Academy Awards, USA",ev0000003,1991,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Kevin Costner'],['nm0000126'],['Dances with Wolves'],['tt0099348'],an0053078,False,"{""primaryNominees"": [""nm0000126""], ""secondaryNominees"": [""tt0099348""]}"
"Academy Awards, USA",ev0000003,1991,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Richard Harris'],['nm0001321'],['The Field'],['tt0099566'],an0053081,False,"{""primaryNominees"": [""nm0001321""], ""secondaryNominees"": [""tt0099566""]}"
"Academy Awards, USA",ev0000003,1991,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Robert De Niro'],['nm0000134'],['Awakenings'],['tt0099077'],an0053079,False,"{""primaryNominees"": [""nm0000134""], ""secondaryNominees"": [""tt0099077""]}"
