category, supporting feature, coefficient
best actress leading role, SAG_outstanding female actor leading role_True_secondary, 1.538993
best actress leading role, SAG_outstanding female actor leading role_True_primary, 1.538993
best actress leading role, BAFTA_best leading actress_True_primary, 1.382658
best actress leading role, BAFTA_best leading actress_True_secondary, 1.382658
best actress leading role, GG_best actress motion picture  drama_True_primary, 1.250808
best actress leading role, NBR_best actor_True_secondary, 0.828169
best actress leading role, BSFCA_best supporting actress_True_secondary, 0.635587
best actress leading role, GG_best actress motion picture  drama_True_secondary, 0.618253
best actress leading role, CCA_best actor_False_secondary, 0.481839
best actress leading role, BAFTA_best make up  hair_True_secondary, 0.404751
best live action short film, BIFA_best british short_True_primary, 3.24944
best live action short film, BIFA_best british short_False_primary, 3.236915
best makeup and hairstyling, BAFTA_best make uphair_True_primary, 0.451723
best makeup and hairstyling, BAFTA_best make up  hair_True_primary, 0.273393
best makeup and hairstyling, BAFTA_best make uphair_True_secondary, 0.244098
best makeup and hairstyling, SAG_outstanding cast motion picture_False_primary, 0.239691
best makeup and hairstyling, NSFCA_best directing_False_primary, 0.22533
best makeup and hairstyling, BAFTA_best sound mixing_False_primary, 0.213949
best makeup and hairstyling, BAFTA_best costume design_False_primary, 0.21204
best makeup and hairstyling, CCA_best young actress_False_primary, 0.208996
best makeup and hairstyling, CCA_best actress_False_primary, 0.202981
best makeup and hairstyling, BAFTA_best cinematography_False_primary, 0.171913
best actor supporting role, GG_best actor supporting role motion picture_True_primary, 4.026329
best actor supporting role, BAFTA_best supporting actor_True_primary, 3.550349
best actor supporting role, SAG_outstanding male actor supporting role_True_primary, 3.311151
best actor supporting role, BAFTA_best actor supporting role_False_secondary, 2.708468
best actor supporting role, GG_best actor supporting role motion picture_True_secondary, 2.364807
best actor supporting role, BAFTA_best supporting actor_True_secondary, 2.297992
best actor supporting role, SAG_outstanding male actor supporting role_True_secondary, 2.056839
best actor supporting role, WAFCA_best supporting actor_True_primary, 1.982663
best actor supporting role, LAFCA_best supporting actor_False_primary, 1.816787
best actor supporting role, BSFCA_best ensemble cast_True_secondary, 1.798537
best cinematography, CAS_outstanding sound mixing for motion pictures_True_primary, 2.038165
best cinematography, CCA_best composer_True_primary, 2.030657
best cinematography, NSFCA_best directing_False_primary, 1.551965
best cinematography, BAFTA_best costume design_True_primary, 1.222472
best cinematography, ACE_best edited feature film  dramatic_False_primary, 1.104585
best cinematography, LAFCA_best production design_True_primary, 1.054297
best cinematography, NYFCCA_best film_False_primary, 0.971573
best cinematography, GG_best director  motion picture_True_primary, 0.962739
best cinematography, BAFTA_best actor supporting role_False_primary, 0.887309
best cinematography, WAFCA_best cinematography_True_secondary, 0.82002
best motion picture, DGA_outstanding directorial motion pictures_True_primary, 2.521662
