category,supporting feature,coefficient
Best Performance by an Actor in a Leading Role,Screen Actors Guild Awards :: Actor :: Outstanding Performance by a Male Actor in a Leading Role :: Winner,1.0
Best Performance by an Actor in a Leading Role,Boston Society of Film Critics Awards :: BSFC Award :: Best Actor :: Winner,0.890989
Best Performance by an Actor in a Leading Role,Golden Globes :: Golden Globe :: Best Performance by an Actor in a Motion Picture - Drama :: Winner,0.887188
Best Performance by an Actor in a Leading Role,BAFTA Awards :: BAFTA Film Award :: Best Leading Actor :: Winner,0.875824
Best Performance by an Actor in a Leading Role,Broadcast Film Critics Association Awards :: Critics Choice Award :: Best Actor :: Winner,0.831922
Best Performance by an Actor in a Leading Role,numRatings,0.787201
Best Performance by an Actor in a Leading Role,Los Angeles Film Critics Association Awards :: LAFCA Award :: Best Actor :: Winner,0.734387
Best Performance by an Actor in a Leading Role,Palm Springs International Film Festival :: Desert Palm Achievement Award :: Desert Palm Achievement Award :: Winner,0.733249
Best Performance by an Actor in a Leading Role,Washington DC Area Film Critics Association Awards :: WAFCA Award :: Best Director :: Winner,0.71913
Best Performance by an Actor in a Leading Role,Costume Designers Guild Awards :: CDG Award :: Excellence in Period Film :: Nominated,0.717206
Best Performance by an Actor in a Supporting Role,Golden Globes :: Golden Globe :: Best Performance by an Actor in a Supporting Role in a Motion Picture :: Winner,1.0
Best Performance by an Actor in a Supporting Role,Screen Actors Guild Awards :: Actor :: Outstanding Performance by a Male Actor in a Supporting Role :: Winner,0.88479
Best Performance by an Actor in a Supporting Role,"Satellite Awards :: Golden Satellite Award :: Best Screenplay, Adapted :: Winner",0.784485
Best Performance by an Actor in a Supporting Role,BAFTA Awards :: BAFTA Film Award :: Best Supporting Actor :: Winner,0.773099
Best Performance by an Actor in a Supporting Role,numUserReviews,0.75169
Best Performance by an Actor in a Supporting Role,numRatings,0.729602
Best Performance by an Actor in a Supporting Role,BAFTA Awards :: BAFTA Film Award :: Best Actor in a Supporting Role :: Nominated,0.690026
Best Performance by an Actor in a Supporting Role,BAFTA Awards :: BAFTA Film Award :: Best Actress in a Supporting Role :: Nominated,0.671015
Best Performance by an Actor in a Supporting Role,Los Angeles Film Critics Association Awards :: LAFCA Award :: Best Supporting Actor :: Winner,0.669856
Best Performance by an Actor in a Supporting Role,Chicago Film Critics Association Awards :: CFCA Award :: Best Supporting Actor :: Winner,0.648432
Best Performance by an Actress in a Leading Role,Screen Actors Guild Awards :: Actor :: Outstanding Performance by a Female Actor in a Leading Role :: Winner,1.0
Best Performance by an Actress in a Leading Role,Golden Globes :: Golden Globe :: Best Performance by an Actress in a Motion Picture - Drama :: Winner,0.930677
Best Performance by an Actress in a Leading Role,BAFTA Awards :: BAFTA Film Award :: Best Leading Actress :: Winner,0.897184
Best Performance by an Actress in a Leading Role,Los Angeles Film Critics Association Awards :: LAFCA Award :: Best Actress :: Winner,0.444472
Best Performance by an Actress in a Leading Role,Broadcast Film Critics Association Awards :: Critics Choice Award :: Best Actress :: Winner,0.348882
Best Performance by an Actress in a Leading Role,London Critics Circle Film Awards :: ALFS Award :: Actress of the Year :: Winner,0.294913
Best Performance by an Actress in a Leading Role,San Francisco International Film Festival :: Golden Gate Award :: Documentary Short Subject :: Winner,0.282244
Best Performance by an Actress in a Leading Role,Chicago Film Critics Association Awards :: CFCA Award :: Best Documentary :: Nominated,0.282244
Best Performance by an Actress in a Leading Role,Boston Society of Film Critics Awards :: BSFC Award :: Best Documentary :: Nominated,0.282244
Best Performance by an Actress in a Leading Role,Chicago International Film Festival :: Silver Hugo :: Best Documentary :: Winner,0.282244
Best Performance by an Actress in a Supporting Role,Screen Actors Guild Awards :: Actor :: Outstanding Performance by a Female Actor in a Supporting Role :: Winner,1.0
Best Performance by an Actress in a Supporting Role,BAFTA Awards :: BAFTA Film Award :: Best Supporting Actress :: Winner,0.985946
Best Performance by an Actress in a Supporting Role,Broadcast Film Critics Association Awards :: Critics Choice Award :: Best Supporting Actress :: Winner,0.883641
Best Performance by an Actress in a Supporting Role,"Satellite Awards :: Golden Satellite Award :: Best Actor in a Motion Picture, Drama :: Nominated",0.783822
Best Performance by an Actress in a Supporting Role,Golden Globes :: Golden Globe :: Best Performance by an Actress in a Supporting Role in a Motion Picture :: Winner,0.761594
Best Performance by an Actress in a Supporting Role,National Society of Film Critics Awards :: NSFC Award :: Best Supporting Actress :: Nominated,0.692714
Best Performance by an Actress in a Supporting Role,BAFTA Awards :: BAFTA Film Award :: Best Actress in a Supporting Role :: Winner,0.66686
Best Performance by an Actress in a Supporting Role,Writers Guild of America :: WGA Award (Screen) :: Best Original Screenplay :: Nominated,0.658264
Best Performance by an Actress in a Supporting Role,New York Film Critics Circle Awards :: NYFCC Award :: Best Supporting Actress :: Winner,0.625983
Best Performance by an Actress in a Supporting Role,Satellite Awards :: Satellite Award :: Best Original Score :: Nominated,0.619994
Best Achievement in Production Design,Los Angeles Film Critics Association Awards :: LAFCA Award :: Best Production Design :: Winner,1.0
Best Achievement in Production Design,Broadcast Film Critics Association Awards :: Critics Choice Award :: Best Production Design :: Winner,0.614397
Best Achievement in Production Design,numUserReviews,0.143875
Best Achievement in Production Design,numCriticReviews,0.134455
Best Achievement in Production Design,BAFTA Awards :: BAFTA Film Award :: Best Costume Design :: Winner,0.111382
Best Achievement in Production Design,Online Film Critics Society Awards :: OFCS Award :: Best Director :: Nominated,0.071721
Best Achievement in Production Design,American Society of Cinematographers :: ASC Award :: Outstanding Achievement in Cinematography in Theatrical Releases :: Nominated,0.039089
Best Achievement in Production Design,National Society of Film Critics Awards :: NSFC Award :: Best Cinematography :: Nominated,0.035278
Best Achievement in Production Design,BAFTA Awards :: BAFTA Film Award :: Best Production Design :: Winner,0.033859
Best Achievement in Production Design,BAFTA Awards :: BAFTA Film Award :: Best Achievement in Special Visual Effects :: Nominated,0.020146
Best Achievement in Cinematography,BAFTA Awards :: BAFTA Film Award :: Best Cinematography :: Winner,1.0
Best Achievement in Cinematography,Broadcast Film Critics Association Awards :: Critics Choice Award :: Best Composer :: Winner,0.912926
Best Achievement in Cinematography,Cinema Audio Society :: C.A.S. Award :: Outstanding Achievement in Sound Mixing for Motion Pictures :: Winner,0.859605
Best Achievement in Cinematography,Broadcast Film Critics Association Awards :: Critics Choice Award :: Best Cinematography :: Winner,0.857968
Best Achievement in Cinematography,American Society of Cinematographers :: ASC Award :: Outstanding Achievement in Cinematography in Theatrical Releases :: Winner,0.843079
Best Achievement in Cinematography,National Society of Film Critics Awards :: NSFC Award :: Best Director :: Nominated,0.834043
Best Achievement in Cinematography,BAFTA Awards :: David Lean Award for Direction :: David Lean Award for Direction :: Winner,0.811852
Best Achievement in Cinematography,American Cinema Editors :: Eddie :: Best Edited Feature Film - Dramatic :: Nominated,0.788021
Best Achievement in Cinematography,Los Angeles Film Critics Association Awards :: LAFCA Award :: Best Production Design :: Winner,0.779784
Best Achievement in Cinematography,Golden Globes :: Golden Globe :: Best Director - Motion Picture :: Winner,0.751288
Best Achievement in Costume Design,Broadcast Film Critics Association Awards :: Critics Choice Award :: Best Costume Design :: Winner,1.0
Best Achievement in Costume Design,BAFTA Awards :: BAFTA Film Award :: Best Costume Design :: Winner,0.862521
Best Achievement in Costume Design,numRatings,0.360105
Best Achievement in Costume Design,PGA Awards :: PGA Award :: Outstanding Producer of Theatrical Motion Pictures :: Winner,0.070313
Best Achievement in Costume Design,Golden Globes :: Golden Globe :: Best Original Score - Motion Picture :: Winner,0.050644
Best Achievement in Costume Design,Grammy Awards :: Grammy :: Best Long Form Music Video :: Winner,0.04926
Best Achievement in Costume Design,Dallas-Fort Worth Film Critics Association Awards :: DFWFCA Award :: Best Documentary :: Winner,0.04926
Best Achievement in Costume Design,New York Film Critics Circle Awards :: NYFCC Award :: Best Non-Fiction Film :: Nominated,0.04926
Best Achievement in Costume Design,Los Angeles Film Critics Association Awards :: LAFCA Award :: Best Documentary/Non-Fiction Film :: Nominated,0.04926
